id,电话,,标题,创建时间,城市,区域,商圈,月租金,月租金单位,单位租金,单位租金单位,店主自述,商铺类型,转让费,装让费单位,业态,店铺状态,更新时间,,经度,纬度,标签,建筑面积,临近街道,支付方式,押金,当前租约,剩余租约,最长可租,续租方式,分时出租
1269525,15821141195,-,浦东南码头浦三路14㎡装饰装修材料店转让，可办照,2019/12/29,上海,浦东,南码头,4000,元/月,9.52,元/日.㎡,店主自述：商铺位于浦三路与高科西路十字路口，菜市场外沿街，三公里范围内120万常驻人口，16家医院，160栋办...,独立商业,面议,,家居建材,浦东南码头浦三路14㎡装饰装修材料店转让，可办照,营业中,2020/12/29 15:30,121.523338,31.193471,"{'9': ['房租月付'], '16': ['临近地铁', '临近学校', '居民密集区']}",14㎡,浦三路,1月一付,3月房租,-,3个月,12个月,无,否
1280827,,-,金山亭林40㎡商铺,2020/2/25,上海,金山,亭林,3000,元/月,2.5,元/日.㎡,,-,无,,其它业态,金山亭林40㎡商铺,-,2020/2/25 13:40,121.3885562,30.92423357,"{'9': ['无转让费'], '16': ['临近学校']}",-,-,0,0,0,0,0,无,0
1282373,,-,金山石化40㎡商铺,2020/3/4,上海,金山,石化,2100,元/月,1.75,元/日.㎡,,-,无,,其它业态,金山石化40㎡商铺,-,2020/3/4 20:40,121.3216462,30.73649234,"{'9': ['无转让费'], '16': ['临近学校', '居民密集区']}",-,-,0,0,0,0,0,无,0
1282085,,-,松江九亭80㎡商铺,2020/3/3,上海,松江,九亭,1.1,万/月,4.58,元/日.㎡,,-,无,,其它业态,松江九亭80㎡商铺,-,2020/3/3 21:21,121.3386426,31.12536569,"{'9': ['无转让费'], '16': ['临近学校', '居民密集区']}",-,-,0,0,0,0,0,无,0
1284579,,-,徐汇漕河泾60㎡商铺,2020/3/11,上海,徐汇,漕河泾,1.68,万/月,9.33,元/日.㎡,,-,无,,其它业态,徐汇漕河泾60㎡商铺,-,2020/3/11 20:41,121.4116852,31.16905406,"{'9': ['无转让费'], '16': ['临近地铁', '临近学校', '居民密集区']}",-,-,0,0,0,0,0,无,0
1273991,15221197661,-,黄浦淮海中路淮海中路25㎡小吃快餐店（窗口）转让，大照/集体照，可明火，可餐饮,2020/1/9,上海,黄浦,淮海中路,1.2,万/月,16,元/日.㎡,店主自述：1.?店铺简介：店铺精装修位于淮海中路780号人气美广内。现粥宫一号品牌店整体转让。共25平方，得房...,独立商业,12,万,酒楼餐饮,黄浦淮海中路淮海中路25㎡小吃快餐店（窗口）转让，大照/集体照，可明火，可餐饮,营业中,2020/1/9 20:46,121.469994,31.224972,"{'9': ['可餐饮'], '13': ['可明火'], '16': ['临近地铁', '临近学校']}",25㎡,淮海中路,3月一付,3月房租,-,18个月,12个月,无,否
1271253,,-,闵行七宝2000㎡商铺,2020/1/2,上海,闵行,七宝,8000,元/月,0.13,元/日.㎡,,-,无,,其它业态,闵行七宝2000㎡商铺,-,2020/1/2 11:30,121.367,31.1392,"{'9': ['无转让费'], '16': ['临近地铁', '临近学校', '居民密集区']}",-,-,0,0,0,0,0,无,0
1272146,,-,静安彭浦60㎡商铺,2020/1/4,上海,静安,彭浦,1,元/月,-,,,-,无,,其它业态,静安彭浦60㎡商铺,-,2020/1/4 10:10,121.448,31.3116,"{'9': ['无转让费'], '16': ['临近地铁', '临近学校', '居民密集区']}",-,-,0,0,0,0,0,无,0
1273343,,-,黄浦南京东路20㎡商铺,2020/1/8,上海,黄浦,南京东路,1.2,万/月,20,元/日.㎡,,-,无,,其它业态,黄浦南京东路20㎡商铺,-,2020/1/8 10:00,121.487,31.2377,"{'9': ['无转让费'], '16': ['临近地铁', '临近学校', '居民密集区']}",-,-,0,0,0,0,0,无,0
1269966,,-,宝山罗泾2300㎡商铺出租,2019/12/31,上海,宝山,罗泾,15.18,万/月,2.2,元/日.㎡,,-,无,,其它业态,宝山罗泾2300㎡商铺出租,-,2020/12/31 7:01,121.3365421,31.49138762,"{'9': ['无转让费'], '13': ['房东直租'], '16': ['临近学校', '居民密集区']}",-,-,0,0,0,0,0,无,0
